name,latitude,longitude
Kiyskinkyulya,60.04925,27.00508
Sur Kuliska,57.97253,27.70157
Lis’ya,57.998,27.78476
Omut,59.13333,27.83333
Khvorostovo,57.16852,27.88053
Torfyanovka,60.59426,27.93463
Verkhniy Gusinets,58.78583,28.00029
Zeyby,56.94694,28.02301
Meshokol’,58.08931,28.04633
Chilevskiy,57.38833,28.07267
Urochishche Gdovka,58.748,28.09251
Mil’tsëvo,56.76706,28.11331
Bol’shoy Bor,60.53933,28.13617
Mol’gino,57.58963,28.15854
Znamenka,58.2451,28.1756
Preobrazhenka,59.64282,28.19275
Spasovshchina,58.21462,28.21039
Ivanovo,57.17492,28.22791
Gnilishche,56.54788,28.24529
Vinokurovo,56.97924,28.26737
Urochishche Kostino,59.46667,28.28333
Gornyy,59.11667,28.3
Reka Luga,59.66667,28.31667
Urochishche Dolgiy Most,59.46717,28.33219
Medvezhek,59.18868,28.34821
Skomorokhovo,57.50256,28.3635
Purgeli,56.3139,28.3794
Barbashi,57.7306,28.395
Lukovka,57.7543,28.414
Buchkina Gora,58.0868,28.4284
Moklochno,58.78884,28.44547
Lozhnëvo,57.7806,28.4581
Asipikhino,56.7778,28.47226
Valyanitsy,59.78904,28.48405
Ozero Uzhinets,56.12312,28.50025
Urochishche Svinukh,58.98198,28.52032
Pushkovo,57.30062,28.53665
Knyazhitsy,58.2331,28.5503
Solka,59.41158,28.56357
Novgorodka,57.05304,28.57981
Zhadenskiy,58.973,28.59434
Pogorelka,57.8446,28.6076
Smykalovo,57.42464,28.6234
Ozero Krivoye,58.46577,28.63878
Ozero Lavrovskoye,56.22649,28.65488
Detkovo,58.68444,28.67139
Podklin’ye,57.58275,28.68393
Mys Dlinnyy Light,60.26219,28.69889
Salpa,56.8527,28.71388
Borodino,56.58977,28.72769
Domnino,56.58611,28.74225
Ugly,57.99356,28.75813
Podvyaz’ye,58.0324,28.773
Maloye Raykovo,59.73007,28.78868
Yesenniki,56.5164,28.80334
Gorodishche,56.69247,28.8199
Novosel’ye,58.5249,28.83442
Grechukhino,56.4897,28.8519
Urochishche Sosnovka,58.4265,28.87067
Bol’shoye Storon’ye,59.2,28.88333
Polustanok Luurinmyaki,60.65,28.9
Opali,57.09168,28.91623
Ksti,58.16597,28.93228
Malyye Peleshi,59.23333,28.95
Vypolzova,59.33333,28.96667
Ozero Aleksandrovskoye,60.4,28.98333
Luzhki,60.27392,29.00035
Urochishche Myshkina Vyrubka,59.20143,29.026
Izvoz,56.92948,29.05093
Chudinovo,59.00094,29.07396
Pogrebishche,58.53333,29.09725
Il’ichino,56.39357,29.12524
Glubokoye,56.0699,29.1521
Staryye Krasnitsy,59.33399,29.18287
Urochishche Gan'kovo,59.17666,29.21069
Sabitsa,58.85108,29.24276
Strel’tsovo,60.60008,29.27403
Pristan' Koryachi,59.11318,29.30225
Yazno,56.05563,29.32829
Kaykino,59.58816,29.36055
Kornilkovo,56.9776,29.3902
Urochishche Kamennyye Ostrova,58.90534,29.4196
Pul’man,59.89822,29.44776
Somino,56.05451,29.48115
Ganino,60.41351,29.50808
Lososinka,59.05456,29.53568
Pupovo,56.9502,29.5661
Novaya,56.4806,29.5981
Ozero Volokskoye,58.96535,29.62415
Balakhanovo,60.8,29.65
Cherchenka,59.15316,29.67874
Reshetnikovo,60.23732,29.7007
Pashkovo,56.9885,29.7312
Kronstadt,59.98666,29.75228
Ozero Krivino,56.6289,29.7787
Zatykino,56.8,29.8
Koshelëvo,56.8983,29.8235
Syas’kelevo,59.55306,29.84578
Pavlyuchki,56.0437,29.8689
Stantsiya Lozovitsy,57.10391,29.89377
Malyy Utorgosh,58.26444,29.91389
Sushchëvo,57.01902,29.93482
Gribovo,56.8189,29.9553
Vybornoye,60.91158,29.97688
Ilova,58.08333,30.0
Nizy,58.01667,30.01667
Sovkhoz Tyagushche,57.51667,30.03333
Kolkhoz Okuchnik,58.01667,30.05
Savostin Ostrov,57.41667,30.06667
Krasnoyarsk Cottage,59.8618,30.07775
Kiriyasaly,60.48023,30.09378
Lukovishchi,56.8945,30.1079
Krapivno,58.02194,30.1263
Ozero Sudakovskoye,60.995,30.14333
Santalovo,56.4386,30.1625
Boloto Bol’shoye,59.14722,30.17972
Porokhovo,56.26667,30.2
Borshchanka,56.28333,30.21667
Bol’shoye Zhuravlëvo,56.03333,30.23333
Peredki,58.41667,30.25
Krestovskiy ostrov,59.97091,30.25789
Les Pervaya Zheleznitskaya Dacha,57.4545,30.2732
Kamenniy ostrov,59.97851,30.2875
Urochishche Ostrov,57.2878,30.3008
Baslovo Pervoye,57.56667,30.31667
Neptuno,59.94836,30.33053
Stn Apartments On Nevsky Prospect,59.93356,30.34261
Cronwell Inn Stremyannaya Hotel,59.93094,30.35316
Shutikha,58.23333,30.36667
Gambolovo,59.64944,30.3825
Izbishche,58.53333,30.4
Sankt-Peterburg/Sofiyskaya Ul. Mediumwave Transmitter,59.85464,30.421
Losevka,60.56268,30.44174
Khantulovo,60.3501,30.462
Shchelino,58.31767,30.48346
Zhëstki,56.30156,30.5043
Tifonovo,56.292,30.5302
Savkino Pervoye,59.2,30.55
Novoye Toksovo,60.21415,30.57203
Nyanino,56.1911,30.5973
Kartsevo,56.48997,30.61523
Lopatkino,56.0274,30.6343
Nikitino,56.66269,30.65368
Konotoptsy,57.8203,30.6832
Zhitnitsy,56.77415,30.70329
Pashkovo,56.48333,30.73333
Lekhino,57.0446,30.7538
Gubnyy Zhar,57.0241,30.7762
Bol’shoye Vakhromeyevo,57.58333,30.8
Lusnya,56.3206,30.8265
Shchëloki,56.88927,30.85196
Filistovo,57.41007,30.88212
Pukhtëvo,56.2609,30.9014
Rovno,57.65442,30.93118
