name,latitude,longitude
Gora Sulku,61.67723,31.35772
Kaya,42.07694,47.21917
Mit’ka,57.90522,39.92191
Ozero Nyuchcha,70.76749,145.5196
Nerchinskiy Khrebet,50.72519,117.46823
Ruzayevka,54.06387,44.9509
Balka Plotavetskiy Log,50.89532,37.24149
Postoyalovo,51.78804,36.45386
Mys Uzkiy,69.81942,87.62402
Bugutuy,51.4046,109.8722
Uptino,54.6475,55.70675
Urochishche Dal’nyaya Krysha,56.4506,54.4726
Internatsional’noye,51.08867,46.7246
Pukhtëvo,56.2609,30.9014
Pervyy Il’inskiy,46.51667,40.5
Sosnovka,57.0982,48.3485
Kartsovo,56.79876,34.90797
Urochishche Vitkulovo,54.0144,52.4335
Urochishche Bol’shoy Pashenskiy Pochinok,60.3157,46.8883
Yarskoy Vtoroy,49.6036,42.6345
Ozero Nelim,55.72754,133.19067
Mikhaylovskiy,53.71667,78.78333
Kokuyka,57.9176,62.6211
Stantsiya Biysk,52.535,85.18139
Streshnëvo,53.4879,38.99637
Krutoy Ovrag,57.31616,39.55776
Ozero Vorob’yevo,52.06902,47.59552
Bobry,56.71667,62.5
Urochishche Linëvo,55.5384,83.4139
Yastrebovo,56.1384,90.6751
Gorodok,54.6952,33.58245
Serednëvo,58.5798,42.2016
Iske-Muncha,55.5046,52.9479
Srednyaya Murma,57.26778,94.54389
Maninskiy Khutor,53.93327,34.33942
Kurgan Kat’kin,47.54653,40.29073
Malov,44.61222,40.17944
Kolodets Kazak,44.09028,45.40556
Aleksandrovka,52.97732,44.2048
Khuduk Naytan Boro,47.29611,46.00833
Pashkovo,56.9885,29.7312
Gora Cherepakha,50.17943,155.48506
Gora Brush-Syrty,43.62447,41.77255
Ostanovochnyy Punkt 309 km,55.17881,37.80003
Dedovo-Talyzino,55.91912,37.09444
Mys Ozërnyy,53.51061,139.91628
Dorofeyevka,43.16667,132.48333
Koptilovo,53.0886,34.78714
Verkhniy Sennoy,63.5364,44.8309
Zamorskiy,57.0811,103.2108
Urochishche Stanichnoye,55.52889,65.81222
Kholm Kyrgannyy,54.71861,21.27111
Chersova,65.3544,45.1123
Tomokta,52.18892,110.76385
Krasnyy Kort,55.93333,47.98333
Kuzmal,55.051,42.693
Svalovka,51.4903,83.6774
Maristyy,54.618,127.6816
Stantsiya Blyava,51.396,57.7156
Kokornitsa,58.8845,56.0568
Vitkalovskiy,52.4,55.68333
Bol’shansk,55.48222,33.47
Nefed’yeva,52.1448,102.8587
Romanovka,50.36667,40.11667
Kardykskiy,53.46667,57.43333
Urochishche Novyy Karakitan,54.89636,48.15315
Mikhalishki,56.11004,42.02164
Kosobanovo,57.31399,56.58292
Korotkov,48.70833,41.12472
Kholmetskiy Khutor,52.5047,34.34358
Beti-Irzu,42.935,45.64194
Urochishche Simonovo,54.65,84.213
Levaya Roslavka,44.43108,133.69236
Balashovskoye Lesnichestvo,52.5271,39.6773
Bokhan,53.153,103.7714
Chakovina,61.3034,41.3119
Glushkovy,58.00943,48.29173
Osinovaya Rechka,48.3233,134.88821
Spas-Shelutino,56.79544,42.27065
Peski Syugyun-Khudukskiye,46.13639,46.76639
Ostrov Edynche-Aryta,72.84303,126.11137
Ozero Pudoro,57.76725,34.61842
Ostrov Oton,59.63596,147.21689
Dupel’nevo,59.3378,38.7641
Log Bol'shoy Bratkovskiy,51.6226,41.38623
Boloto Zagonnoye,59.68333,31.05
Saltykovka,54.90901,74.06152
Serezhkin,45.46667,148.85
Subbotniki,58.03058,54.60791
Ozero Mirskoye,59.3926,62.2871
Ozero Uraskul’,56.1362,73.8886
Ozero Bol’shoye,53.10943,50.30153
Shatrovo,58.53674,34.8808
Terent’yevskaya,62.53198,43.6507
Yuzhnyy,45.35967,39.84027
Kamenka,53.5674,85.6097
Sagdy-Selanka,47.31052,136.51391
Glukharëvo,60.2678,38.164
Kunu-Berete,63.31667,119.85
Ozero Svetloye,58.8172,82.5464
Gora Okonekto,50.35839,138.12382
Podkhozheye,54.32537,38.56675
Allan,49.39147,132.17595
Butyrka,54.35,101.76667
Pad’ Sed’maya,50.56938,129.50124
Ozero Verkhneye Nigrozero,66.56444,32.57833
Pokrovskiy Zaton,48.47187,45.05358
Gorelaya,53.28677,158.07167
Devyatyy Uchastok,55.6309,59.8203
Ozero Katesovskiy Sor,61.04132,74.37002
Sakharova,55.6687,105.1839
Nikolayevka,54.6527,61.8495
Afanasiya,67.84572,35.21851
Sukhonogovy,58.96667,48.71667
Yuga,63.1093,35.03278
Utakan,53.48719,120.26168
Ul’va,59.9126,55.9109
Ozero Ngolyangto,70.9675,72.55583
Sap,53.58333,92.91667
Ozero Langytlor,66.61611,67.12833
Stantsiya Roshcha,57.80446,29.73895
Ozernitsa,61.4454,49.2623
Murtuyan,59.17898,135.5776
Gora Malyy Yar,53.19334,111.09366
Ozero Kayyanperya,65.27098,32.95092
Chemugakan,55.0386,118.4371
Gora Klyuchevaya,51.43799,139.02261
Bukhta Vkhodnaya,74.81639,86.15944
Ostanovochnyy Punkt Razloga,56.1177,97.2984
Maloye Zimov’ye (historical),73.34937,141.25088
Ozero Ugol’noye,64.43861,40.34028
Ozero Arno,69.1625,33.17698
Chigany,57.45,73.31667
Ozero Sangitur,61.39639,61.37278
Dar’ino,58.83333,29.66667
Pad’ Modokochi,51.8953,117.82589
Chetal’-Ky,64.88333,80.06667
Burgoltayskiye,50.8,105.0
V’yuchnyy,49.13168,140.02484
Yen’kin,55.0156,92.9938
Granitnyy,45.91472,135.60276
Vezhakorskiye,63.4,65.43333
Chistoye Boloto,57.02341,84.98969
Ozero Golyginskoye,51.84542,157.31052
Anmannykan,65.58106,137.60761
Pil-Ozero,62.28722,34.74836
Zapadnaya Morzhovskaya Mel’,66.64748,42.56478
Gora Shireta,50.04763,110.40384
Oguktaakh,67.91667,131.4
Bol’shiye Kon’ki,60.4,114.4
Ostrov Shvetsova,76.40694,95.55306
Gora Oskaul,52.67144,138.06959
Kyuyëleriki,62.19006,130.56709
Altynnaya,56.85278,162.04167
Verkhniy Odes,63.33179,54.47044
Ozero Muram,67.4253,86.0129
Ozero Vil’ko-Yarvi,64.03333,33.03333
Mys Savoyya,80.78641,55.92145
Ulin,62.04651,157.85094
Mys Velikan,46.625,143.51861
Bagachi-Birikan,56.51156,123.87421
Susmachan,62.93333,147.5
Gory Ust’-Bel’skiye,65.20945,172.96702
Boloto Usvanyur,65.79274,57.28366
Vel’mo Pervoye,61.18333,93.08333
Tumara-Yuryakh,75.45915,142.57851
Mys Ponton,69.35194,67.17111
Avikan,57.15,135.7
Ozero Sakhanova,70.9,55.58333
Travyanistyy,61.32235,147.97947
Laryn-Yart,59.0868,73.0818
Proliv Svobodnoy Kuby,77.33667,106.51028
Gora Verti,76.21667,64.08333
Kharaulakh,70.46667,129.75
Vulkan Konradi,55.09243,160.55375
Mys Plavnikovyy,72.45,78.36667
Gora Tumannaya,71.05188,-178.56525
Ekvikeneyveyem,67.37661,-177.17174
Khrebet Vekikan,63.49056,98.13306
Rel’kuveyem,69.51223,173.46763
Burgandzha,60.91058,139.60429
Moryanikha,58.49306,93.58806
Koryakskoye Nagor’ye,62.5,172.0
