name,latitude,longitude
Zaliv Zeyeberga,75.93821,96.76972
Zykovo,58.13333,42.06667
Gobzyakit,55.5655,120.87931
Tyazhino-Vershinka,55.91962,88.59169
Zherebtsovo,51.24312,138.74719
Karimovo,54.6954,59.8154
Kuzhurtuy,52.9,106.1
Sosnovka,60.01667,30.35
Alkhanchurtskaya Dolina,43.48374,44.85777
Gora Zub,64.31667,167.6
Zybino,53.7925,36.76361
Zyukayka,58.20416,54.70784
Zyryanovo,56.82667,73.67593
Zyryanka,65.80425,150.7501
Yurekhte,58.97256,131.68864
Zalapino,52.70766,46.54732
Rybnyy,53.01614,156.37278
Voskresenovka,49.83368,128.9747
Yeney-Musyur,68.41667,58.0
Zolotaya Polyana,44.85,136.1
Zyabrikovo,56.84665,34.7048
Zvonkiy,47.04417,40.12583
Bukhta Shirokaya,72.38389,81.04111
Urochishche Tyube,59.95,144.30278
Klimovskaya,62.05,36.05
Zykovy,58.59703,48.53182
Solbiya,55.2374,93.535
Kislyy,45.34944,147.88778
Uldza,49.93333,115.88333
Zven’yevoye,54.6783,20.97688
Guba Zolotaya,68.86751,37.02636
Zamotokhina,54.4895,59.956
Zyuzya,55.09257,77.85532
Katkovo,55.13333,82.88333
Zapadno-Sibirskiy Ekonomicheskiy Rayon,63.0,78.0
Oztishchevo,56.4,37.51667
Orlovka,51.02692,40.5338
Zykovo,51.81918,55.50252
Yermolina,57.34663,64.72501
Yuttyakh,67.0,132.13333
Polyarnaya Stantsiya Andreya,76.72583,110.4625
Stacija Skangaļi,56.88199,27.7335
Yezevets,65.7077,46.5163
Verkh-Beloanuy,51.1442,84.9868
Zyryanovka,55.9119,97.4624
Zludyanka,68.40192,160.69984
Stantsiya Karambay,56.5582,52.58011
Bol’shoy Kamen’,43.13333,132.33333
Zyuz’ki,54.68967,31.12515
Ostrova Yuzhnyye Krestovyye,76.0384,59.50373
Zapadnaya Khandyga,62.65,135.31667
Yem”yugan,61.88534,64.34272
Balka Zurmuta,44.96444,44.84278
Zytsovo,59.09104,39.10056
Ozero Bakamanka,62.7,120.46667
Rosta,69.03523,33.06894
Zykovo,54.06853,45.08633
Zaostrovka,70.5,88.86667
Zazulin,44.4386,39.8355
Yefremkovskaya,61.33722,42.09417
Mys Zheleznyy,67.76667,48.8
Snegovoy Yar,68.58333,73.41667
Mikhaylo-Pavlovsk,49.66667,113.01667
Sasovo,54.35369,41.91986
Mys Zhirovoy,54.76286,167.7282
Mys Rossomashiy,69.16499,170.90346
Ilovlinka,49.86324,44.67681
Zuyevo,55.26306,55.81972
Proliv Zarya,75.6184,136.63422
Zlatoustovsk,52.96872,133.59996
Vasilisinskiy,54.46667,127.11667
Gora Zapadnaya,59.06616,162.87686
Zorin,44.91667,38.25
Zyat’kovo,53.59576,80.34272
Bakhura,47.21681,143.00517
Zverevo,57.279,48.1969
Zubarëvka,53.26667,53.63333
Srednesibirskoye Ploskogor’ye,66.0,106.0
Orenburgskoye,46.79585,134.24226
Tauyskaya Guba,59.57111,149.65739
Yezhevo,58.0256,52.2223
Vazhinskaya Pristan’,61.50747,33.57814
Sarany,58.5485,58.7629
Gakugsa,61.57722,36.45441
Bol’shoy Mamyr’,56.2,102.78333
Kamni,52.02333,156.87083
Veslyana,62.99048,50.8827
Koynergirgin,65.41667,179.51667
Zubrilinskiy,49.497,40.83102
Zvëzdochka,60.51353,137.76556
Ysy-Khaya Yuryage,72.20249,126.09592
Khaldeyevo,56.63333,85.6
Zybino,52.35813,43.34254
Zukhrabkent,41.56687,48.1529
Mys Zapadnyy,54.95018,136.68445
Zykovo,53.07832,47.7636
Ozero Bol’shoye Pestino,57.32889,33.13722
Pokrovka,55.52425,71.0015
Sukhaya,53.73903,109.7968
Sorug,52.82885,97.22191
Laguna Obmannyy Shar,71.0425,53.01639
Zyuzino,55.70925,65.70873
Zvyagino,58.77315,35.1388
Bukhta Obshirnaya,76.03639,93.17222
Orekhovo,45.54434,134.37156
Zverinka,53.81194,32.56611
Zyabrevo,54.1796,36.57161
Plamennyy,68.5,176.25
Mys Utes,45.53102,148.87492
Stantsiya Pavelets-Tul’skiy,53.7866,39.24122
Zimov’ye Kezhemskoye,59.96667,99.85
Zelëntsyno,56.73452,34.92011
Zvanka,59.01667,31.75
Skalistyy,61.30832,156.6317
Ozagir,43.05,44.23333
Ozero Rovalampi,66.51234,30.04543
Stantsiya Zyurzya,56.66501,57.85216
Nikolayevskiy,54.9,129.0
Lena,55.93115,105.80985
Zyuzino,55.57726,49.91377
Belyy Urgum,53.28333,118.5
Znamenka,61.97039,56.86005
Zyryanovka,53.4786,83.03
Zykovo,58.86667,40.51667
Oztishchevskiy Rayon,51.66667,45.5
Zykarenag,64.4,138.6
Zykovo,55.9998,42.3781
Ozero Onto Numa,49.15,142.06667
Zykovo,55.67105,76.93986
Ostanovochnyy Punkt Algara,46.55907,48.71122
Zverinaya,57.61174,162.67959
Ozero Bel’dunchana,67.85911,95.82023
Zolotoye Ruslo,58.4,115.41667
Trifonovo,57.00417,63.12667
Zubarikha,58.61667,39.1
Krasnolesnyy,51.8829,39.5771
Urochishche Nizhnyaya Bauzda,51.3251,59.1463
Zolotaya,52.08871,92.72487
Zykovo,58.64361,45.10856
Zyryanovka,59.3,80.48333
Yekaterino-Nikol’skoye,47.75026,130.96494
Ust’-Gur,50.1107,136.89471
Ozero Zobnino,57.3743,70.903
Zunino,63.95539,41.74484
Zolotoy Yar,58.75,116.9
Stantsiya Zvezda,52.9548,49.6163
Zyungar-Kebyut,46.04083,42.06833
Bereznik,65.4763,44.9982
Zykovshchina,59.95,46.38333
Zakidovo,57.99833,33.5225
Akhvenozero,64.18262,32.56389
Zaliv Sedova,74.69913,59.81133
Krasnobrodskiy,54.1581,86.4486
Zenkovo,61.20115,69.87824
Zverinets,66.09102,55.23185
Zolotukha,63.7,38.91667
Mys Yuribeysalya,68.91425,68.8842
Krasnyy Chikoy,50.36321,108.75445
Zvyagino,55.7309,42.7658
Zyuzino,57.47267,54.02466
Zvonarëv Kut,54.69018,73.37344
Mys Zelënyy,71.43677,75.36934
Zykovka,52.0852,35.9819
Zuy,52.45259,104.05785
Zuyevshchina,58.6,27.88333
Zimniye-Kiyevskiye,59.80954,79.06575
Khochuzh,56.83333,30.65
Novozavidovskiy,56.55,36.43333
Sortaval’skiy Rayon,61.77208,30.64628
Zykovo,57.60262,49.63636
Mys Zolotoy,47.31885,138.98626
Krasnobor’ye,55.55556,64.5425
Yegor’yevskoye,54.4986,84.5973
Vysotino,56.03583,94.6625
Zhukovo,54.53333,99.9
Zvëzdochka,46.7753,39.5725
Yus-Balagan,71.51667,136.23333
Bërëlëkh,62.43333,147.68333
Gorodishchna,60.23148,44.36512
Zyryanovo,63.70029,87.32626
Malinovo,55.74833,38.87256
Zhil’gur,61.08333,126.96667
Smol’nyy Navolok,67.15,32.41667
Zholmykh,52.1,139.81667
Zybino,50.69828,36.03715
Gora Zyuryan,56.23333,59.46667
Zholdongo,68.01667,123.2
Nekrasovo,55.03285,34.52375
Zmeyëvka,51.1121,38.2149
Zvyagino,56.73649,45.54575
Yengota-yu,64.98575,62.10626
Zybino,54.9138,38.24399
Bukhta Yuriya,80.30914,52.68855
Kitoy-Kinskiy Khrebet,52.17228,102.40202
Bikada,74.83333,106.5
Zhirkova,68.25,145.4
Ostrov Zhokhova,76.14036,152.70981
Vagil’,59.76888,62.63597
Zaliv Zeyeberga,75.93821,96.76972
Zykovo,58.13333,42.06667
Gobzyakit,55.5655,120.87931
Tyazhino-Vershinka,55.91962,88.59169
Zherebtsovo,51.24312,138.74719
Karimovo,54.6954,59.8154
Kuzhurtuy,52.9,106.1
Sosnovka,60.01667,30.35
Alkhanchurtskaya Dolina,43.48374,44.85777
Gora Zub,64.31667,167.6
Zybino,53.7925,36.76361
Zyukayka,58.20416,54.70784
Zyryanovo,56.82667,73.67593
Zyryanka,65.80425,150.7501
Yurekhte,58.97256,131.68864
Zalapino,52.70766,46.54732
Rybnyy,53.01614,156.37278
Voskresenovka,49.83368,128.9747
Yeney-Musyur,68.41667,58.0
Zolotaya Polyana,44.85,136.1
Zyabrikovo,56.84665,34.7048
Zvonkiy,47.04417,40.12583
Bukhta Shirokaya,72.38389,81.04111
Urochishche Tyube,59.95,144.30278
Klimovskaya,62.05,36.05
Zykovy,58.59703,48.53182
Solbiya,55.2374,93.535
Kislyy,45.34944,147.88778
Uldza,49.93333,115.88333
Zven’yevoye,54.6783,20.97688
Guba Zolotaya,68.86751,37.02636
Zamotokhina,54.4895,59.956
Zyuzya,55.09257,77.85532
Katkovo,55.13333,82.88333
Zapadno-Sibirskiy Ekonomicheskiy Rayon,63.0,78.0
Oztishchevo,56.4,37.51667
Orlovka,51.02692,40.5338
Zykovo,51.81918,55.50252
Yermolina,57.34663,64.72501
Yuttyakh,67.0,132.13333
Polyarnaya Stantsiya Andreya,76.72583,110.4625
Stacija Skangaļi,56.88199,27.7335
Yezevets,65.7077,46.5163
Verkh-Beloanuy,51.1442,84.9868
Zyryanovka,55.9119,97.4624
Zludyanka,68.40192,160.69984
Stantsiya Karambay,56.5582,52.58011
Bol’shoy Kamen’,43.13333,132.33333
Zyuz’ki,54.68967,31.12515
Ostrova Yuzhnyye Krestovyye,76.0384,59.50373
Zapadnaya Khandyga,62.65,135.31667
Yem”yugan,61.88534,64.34272
Balka Zurmuta,44.96444,44.84278
Zytsovo,59.09104,39.10056
Ozero Bakamanka,62.7,120.46667
Rosta,69.03523,33.06894
Zykovo,54.06853,45.08633
Zaostrovka,70.5,88.86667
Zazulin,44.4386,39.8355
Yefremkovskaya,61.33722,42.09417
Mys Zheleznyy,67.76667,48.8
Snegovoy Yar,68.58333,73.41667
Mikhaylo-Pavlovsk,49.66667,113.01667
Sasovo,54.35369,41.91986
Mys Zhirovoy,54.76286,167.7282
Mys Rossomashiy,69.16499,170.90346
Ilovlinka,49.86324,44.67681
Zuyevo,55.26306,55.81972
Proliv Zarya,75.6184,136.63422
Zlatoustovsk,52.96872,133.59996
Vasilisinskiy,54.46667,127.11667
Gora Zapadnaya,59.06616,162.87686
Zorin,44.91667,38.25
Zyat’kovo,53.59576,80.34272
Bakhura,47.21681,143.00517
Zverevo,57.279,48.1969
Zubarëvka,53.26667,53.63333
Srednesibirskoye Ploskogor’ye,66.0,106.0
Orenburgskoye,46.79585,134.24226
Tauyskaya Guba,59.57111,149.65739
Yezhevo,58.0256,52.2223
Vazhinskaya Pristan’,61.50747,33.57814
Sarany,58.5485,58.7629
Gakugsa,61.57722,36.45441
Bol’shoy Mamyr’,56.2,102.78333
Kamni,52.02333,156.87083
Veslyana,62.99048,50.8827
Koynergirgin,65.41667,179.51667
Zubrilinskiy,49.497,40.83102
Zvëzdochka,60.51353,137.76556
Ysy-Khaya Yuryage,72.20249,126.09592
Khaldeyevo,56.63333,85.6
Zybino,52.35813,43.34254
Zukhrabkent,41.56687,48.1529
Mys Zapadnyy,54.95018,136.68445
Zykovo,53.07832,47.7636
Ozero Bol’shoye Pestino,57.32889,33.13722
Pokrovka,55.52425,71.0015
Sukhaya,53.73903,109.7968
Sorug,52.82885,97.22191
Laguna Obmannyy Shar,71.0425,53.01639
Zyuzino,55.70925,65.70873
Zvyagino,58.77315,35.1388
Bukhta Obshirnaya,76.03639,93.17222
Orekhovo,45.54434,134.37156
Zverinka,53.81194,32.56611
Zyabrevo,54.1796,36.57161
Plamennyy,68.5,176.25
Mys Utes,45.53102,148.87492
Stantsiya Pavelets-Tul’skiy,53.7866,39.24122
Zimov’ye Kezhemskoye,59.96667,99.85
Zelëntsyno,56.73452,34.92011
Zvanka,59.01667,31.75
Skalistyy,61.30832,156.6317
Ozagir,43.05,44.23333
Ozero Rovalampi,66.51234,30.04543
Stantsiya Zyurzya,56.66501,57.85216
Nikolayevskiy,54.9,129.0
Lena,55.93115,105.80985
Zyuzino,55.57726,49.91377
Belyy Urgum,53.28333,118.5
Znamenka,61.97039,56.86005
Zyryanovka,53.4786,83.03
Zykovo,58.86667,40.51667
Oztishchevskiy Rayon,51.66667,45.5
Zykarenag,64.4,138.6
Zykovo,55.9998,42.3781
Ozero Onto Numa,49.15,142.06667
Zykovo,55.67105,76.93986
Ostanovochnyy Punkt Algara,46.55907,48.71122
Zverinaya,57.61174,162.67959
Ozero Bel’dunchana,67.85911,95.82023
Zolotoye Ruslo,58.4,115.41667
Trifonovo,57.00417,63.12667
Zubarikha,58.61667,39.1
Krasnolesnyy,51.8829,39.5771
Urochishche Nizhnyaya Bauzda,51.3251,59.1463
Zolotaya,52.08871,92.72487
Zykovo,58.64361,45.10856
Zyryanovka,59.3,80.48333
Yekaterino-Nikol’skoye,47.75026,130.96494
Ust’-Gur,50.1107,136.89471
Ozero Zobnino,57.3743,70.903
Zunino,63.95539,41.74484
Zolotoy Yar,58.75,116.9
